subject,relation,value
厦门大学,['中文名'],['\n厦门大学\n']
厦门大学,['外文名'],['\nXiamen University\n']
厦门大学,['简\xa0\xa0\xa0\xa0称'],['\n厦大（XMU）\n']
厦门大学,['创办人'],['\n陈嘉庚\n']
厦门大学,['创办时间'],"['\n', '1921年', '4月6日\n']"
厦门大学,['类\xa0\xa0\xa0\xa0别'],['\n公立大学\n']
厦门大学,['类\xa0\xa0\xa0\xa0型'],['\n综合类\n']
厦门大学,['属\xa0\xa0\xa0\xa0性'],"['\n', '211工程', '（1997年）\xa0\n', '985工程', '（2001年）\xa0\n', '111计划', '（2006年）\xa0\n', '2011计划', '（2014年）\xa0\n', '世界一流大学建设高校', '（2017年）\n', '展开', '\n', '\n', '\n', '属性', '\n', '\n', '211工程', '（1997年）\xa0\n', '985工程', '（2001年）\xa0\n', '111计划', '（2006年）\xa0\n', '2011计划', '（2014年）\xa0\n', '世界一流大学建设高校', '（2017年）\n', '\n研究生院\n', '自主招生\n', '国防生\n', '收起', '\n', '\n', '\n', '\n']"
厦门大学,['主管部门'],['\n中华人民共和国教育部\n']
厦门大学,['现任领导'],"['\n党委书记：', '张彦', '\n', '校长：', '张荣', '\n']"
厦门大学,['专职院士'],"['\n院士22人（含双聘院士9人）', '\n[5]', '\xa0', '\n']"
厦门大学,['硕士点'],"['\n学术学位授权一级学科52个\n', '学术学位授权二级学科3个（不含一级学科覆盖）\xa0\n', '专业学位授权类别24个\n']"
厦门大学,['博士点'],"['\n学术学位授权一级学科33个\n', '学术学位授权二级学科3个（不含一级学科覆盖）\n', '专业学位授权类别1个\n']"
